review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
RSH1OZ87OYK92,2,2,3,N,N
R1WFOQ3N9BO65I,5,0,0,N,Y
R3YOOS71KM5M9,5,0,0,N,Y
R3R14UATT3OUFU,5,0,0,N,Y
RV2W9SGDNQA2C,5,0,0,Y,Y
R3CFKLIZ0I2KOB,5,0,0,Y,Y
R1LRYU1V0T3O38,4,0,0,Y,Y
R44QKV6FE5CJ2,5,0,0,Y,Y
R2TX1KLPXXXNYS,5,0,0,Y,Y
R1JEEW4C6R89BA,5,0,0,Y,Y
R3B3UHK1FO0ERS,1,0,0,Y,N
R2GVSDHW513SS1,5,0,0,Y,Y
R1R1NT516PYT73,5,0,0,N,Y
R3K624QDQKENN9,4,0,0,N,Y
R1FOXH7PCJX3V,1,0,2,N,Y
RA1246M1OMDWC,5,0,0,Y,Y
R2I9SXWB0PAEKQ,5,0,0,N,Y
R3UGL544NA0G9C,4,0,0,N,Y
R1CBA4Y92GVAVM,5,0,0,N,Y
R24NEKNR01VEHU,5,0,0,N,Y
R2EPQGD185FKZR,5,0,1,N,Y
R17NXVDFTT4BGC,5,0,0,Y,Y
RJI67QGY95MJH,5,0,0,N,Y
R2PW0GFPCOW91C,5,0,0,N,Y
R2NGE0KNGOCBMS,1,0,2,N,Y
R3FXXN2LFLLF49,5,0,0,N,N
R2XDRIKNRYNIHZ,1,0,0,N,Y
R3CU9N7BTPLN56,3,0,1,N,Y
R23NS4Q2ULC41G,5,0,0,N,Y
R1L8903UCAXF4R,5,0,0,N,Y
R17ZHKT4J2KA6N,1,0,0,N,N
R1MQ1CU269IJN4,5,0,0,N,Y
R6MEGF6J8V20K,5,0,0,N,Y
R1HEHKYDT2ED2D,5,0,1,N,Y
R2Q3KVJRKDJMDZ,5,0,0,N,Y
RRJ6KARLSBF1T,1,0,1,N,N
RL0C46TVJHXWW,1,0,0,N,Y
R3EXB45L1248O2,5,0,0,N,Y
R1YMHD3XM1VTLE,5,0,0,N,Y
R36EN615WG7N08,5,0,0,N,Y
R2GRR6L62WH65R,5,0,0,N,Y
R2SBH942FW2KVU,5,0,0,N,Y
R3D5V31WM2WBTG,5,0,0,N,Y
RDUWTKP375ZYT,1,0,0,N,N
R23AO8UCYEOPSD,5,0,0,N,Y
R3D22004JZNQNZ,5,0,0,N,Y
R1IMWXLSA5GWZU,3,1,1,N,Y
R28TKY53F83ZZI,1,0,0,N,Y
R1WJM3LUX5EBFE,4,0,0,N,Y
R2N8DIGPJ4904A,5,0,0,N,Y
R3AYRT4NAMQSZB,5,1,1,Y,N
R3UJ326S6IJR7,5,0,0,N,Y
RMDE8ZNMA3322,5,0,0,N,Y
R3PXI8KKYGQC5O,3,0,0,N,Y
R1EB82XGHB4AXH,4,0,0,Y,Y
R2Y697WVDZXXXG,5,0,0,N,Y
R1T801Q6UUE322,5,0,0,N,Y
R2642823GCWLND,3,1,1,N,Y
R2ERL1TN0KF6RI,5,0,0,N,Y
R2BHVRM60WJ74A,5,0,0,N,N
R2AOPNDW6ZWIRN,5,1,2,Y,Y
R2MJT8BFE3HY2E,5,0,0,N,Y
R1XITDEG13VYCE,1,2,12,N,Y
RW9WINBW53KDA,5,0,0,N,Y
R2QF4UDVHMSXYA,5,0,0,N,N
R3H310YUUIBCV1,5,0,0,Y,N
R2MFESEUH8B6HD,5,0,0,Y,Y
R2WRAT4CND3Y7N,4,0,1,Y,Y
R1E4R6WS4DFISA,5,0,0,Y,Y
R2IWG7VDOCXK5U,5,1,1,Y,Y
RGI8SRJZ1GN1Q,5,0,1,Y,Y
R2YS6ENZYWAUA8,5,0,0,Y,Y
R3D117PS2L1M9J,5,0,0,N,Y
R1KZ1DXLODLBSX,5,0,0,N,N
RCPDEJX0NIQRP,1,0,0,N,Y
R1B19R70L9F1VS,5,0,0,N,Y
R34Y0NX6RHTWH1,5,1,2,N,Y
RLTG6S1CM50AZ,5,0,0,N,Y
RX0F83G2T6I27,2,0,2,N,Y
RDHZ0IP0QWF3G,1,1,1,N,Y
R16PVYVGAJOFXU,5,0,0,N,Y
R2BYOTSDJJY65O,4,0,0,N,Y
R1UKOCV465NQE1,1,0,4,N,Y
R13H3H1Y9MT7HG,5,0,0,N,Y
RNCH0H25AYA6J,5,0,0,N,Y
R3GLQIRVJI6BBL,5,0,0,N,Y
R1KKKFLE62Y095,4,0,0,N,Y
R13MWCZGLM0HT9,5,0,0,N,Y
R2T6EYAOJCRNFZ,5,0,0,Y,Y
R36ODKFYKH2OBI,5,0,0,N,Y
R2C0ZRA0SEZZTB,5,0,0,N,Y
R3APMRZGN2X6DB,5,0,0,N,Y
R115MHJTW7LRMX,5,1,1,Y,Y
R1A8HMDA33GS4J,5,0,0,N,Y
R38QEHOXM80XF0,5,0,0,N,Y
R11P8LXUUSZT7U,5,0,0,N,Y
R2UI2A0GVZ6SQC,5,0,0,N,Y
R2GFH6IGSW33MP,4,1,1,N,Y
R3BIGSAZXXERI7,5,0,1,Y,Y
R1SGO2BPTCJTN3,1,1,3,Y,Y
R1VUYL83CWNQXI,1,0,2,Y,Y
R3D58KIJZ56ZOF,5,0,0,Y,Y
R13W3BLQUYTZ0G,5,0,0,Y,Y
R126QGU4KEC8QN,4,0,0,Y,Y
RL9RFGWHGPJGO,5,0,0,Y,Y
R190JL7GMY5VAI,5,0,0,Y,Y
R22AJQ5XUD6778,5,0,0,Y,Y
R1DWCGSQLD50NK,4,0,0,Y,Y
R2OX7Q5OD9469C,1,0,1,Y,N
R3JQ8DDZVSSSHG,4,0,0,N,Y
R34TIDVYEA1VUM,5,0,0,N,Y
R10DEIO121647A,1,1,3,N,Y
RZV7AQCYEAFD8,3,0,0,N,N
RZEYQZWITKPYT,5,0,0,N,Y
R133L6QGPRG0OW,5,0,0,N,Y
R1PGWD5M2H10W3,2,1,2,N,Y
R86D5Y7RMDW6A,5,0,0,N,Y
R39VTJQOTM6K64,5,0,0,N,Y
RP8JZOBSHJN4,1,0,0,N,Y
R1S4PWT6ZOEI3D,5,0,0,N,Y
RFRHTID81R0SQ,4,0,0,N,Y
R17ZWHOJF1UTOI,1,0,0,N,Y
R1GQER9Z4SUO2A,5,1,1,N,Y
R26FWWAUVBSIGJ,5,0,0,N,Y
R2F3K6J4RG1IM8,3,0,0,N,N
R3Q7QCDAETS61,5,0,0,N,Y
R3LARAIGAST0V5,5,0,0,N,Y
R1ZATA86SO998N,1,0,0,N,Y
R31YCU2VIHVC0Z,1,3,7,N,Y
R1ZKB3EN4N3AUQ,3,0,0,N,Y
R39VO25VT9TI5H,1,1,1,N,Y
R30OMY3QWDUPRL,3,4,6,N,Y
R2JZU4ACC06MCC,1,0,1,N,Y
RWWQJXMY853VT,2,0,0,N,Y
R11HYFF6GEX1UV,5,0,0,N,Y
RPU3Y76KRYNW2,5,0,0,N,Y
R1RG208XVTXLL0,1,0,1,N,Y
R26TC4OXD8FCJJ,3,0,8,N,Y
R3MCHEIMYN5CWM,1,2,5,N,Y
R14ODC7U5ICARJ,5,0,0,N,Y
R1LYKEM1U10XRN,2,2,4,N,Y
RMWM4PRPQF4X3,5,0,0,N,Y
RFSUAAZ72TRT6,5,0,0,N,Y
R1TDI66RX1KI2X,4,0,0,N,Y
R365JGSH9CL6EK,4,1,3,N,Y
R27QK42DEAKR96,5,0,0,N,Y
R1RKJ0927DWP2Y,4,0,0,N,Y
R1Z782DO5M6AB7,1,1,2,N,Y
R2YAAMBSIU4WSQ,3,0,1,N,Y
RMIRUF5OM82A5,1,0,0,N,Y
R2UR8U46YIBGVC,5,0,0,N,Y
R3U0GO4BJKLMSA,5,0,1,N,N
R2BAJT8C1DSQ3U,1,0,0,N,Y
R1I7R7NLE88JQH,5,0,0,N,Y
R87TWWT7X9FZB,4,6,6,N,N
R8GXE2RAN6E1V,5,0,1,N,Y
RYHW80VFNWVPD,5,0,0,N,Y
RO953UFWY9XVK,1,0,0,N,Y
R1QX8TEMWW7SOQ,1,0,3,N,N
R253MSTC5ECVRS,5,0,0,N,Y
R2BBTQTIRRT23Y,4,0,0,N,Y
R34LZ7X9OHYB77,5,0,0,N,Y
R3FEM257RCS4WE,5,0,0,N,Y
R1DKBMQC51IZ2Y,5,0,0,N,Y
R2N2SH9R0GOWXH,1,0,1,N,Y
R25FGYPEH61A61,5,0,0,N,Y
R3SF63TPG02TY9,3,0,0,N,Y
R2QWJVB08BT25X,5,0,0,N,Y
R1BMQUJWR6WQ26,1,1,1,N,Y
RVBFXPJZBV2W0,5,1,1,N,Y
R2XN8KZHCZ9FH5,5,0,0,N,Y
R37ME4K0JBEZ31,5,0,0,N,Y
RPNZGJMA49034,2,0,0,N,Y
R2GZJEDTEVSQSL,5,0,0,N,Y
R3AF09WJY12W3R,1,0,4,N,Y
RWQI661DFFIF3,5,3,3,N,Y
R3U1Y2EEVSJU3W,1,0,0,N,Y
R35QUODBLL4EZY,4,0,0,N,Y
R2Y64HPXIHVSG8,5,0,0,N,Y
R3M6XG0G2OXJK1,5,0,0,N,Y
R3OWJZ339EJ48Q,1,0,0,N,Y
R2262VD2FVA9KW,2,0,0,N,Y
R72C13GEBBGA2,5,0,0,N,Y
RNL6X10KLL1H5,5,0,0,N,Y
R19J0JH0B399I9,5,1,2,N,Y
R222L341FW1CB0,5,0,0,N,Y
R2ADK748QVK40F,5,0,0,N,Y
R366WPM063HM7J,5,0,0,N,Y
R2IZYHFJ72M2BP,1,0,0,N,Y
R2YV8016KFQWLB,5,2,3,N,Y
R3S4SCUBIURSR1,5,0,0,N,Y
R1N4DHEAA63RK7,3,1,1,N,Y
R2GSZ48BKRV0LX,5,0,0,N,Y
RBIHCKCBQT3TL,5,4,4,N,Y
R263MKMMYC4003,5,0,0,N,Y
RZZXN0K01BMSS,5,0,0,N,Y
R2NT1XP3GS71G7,1,0,1,N,Y
RF2D49FFQK8NH,5,0,0,N,Y
R3DAWDAJRGQ0O6,5,0,0,N,Y
R56HI45J99ALR,2,0,1,N,Y
R2NXNDRZNOR2JN,3,0,0,N,Y
R1Z71YAX3VDX4Z,1,1,2,N,Y
R28VJZOCCMHEEF,1,0,0,N,Y
R2ZKQDDBIG81HA,5,0,0,N,Y
RJBZAAX8M17W3,5,1,1,N,Y
R2XICSNCFZ3P6A,4,1,1,N,Y
R1S5G8G2QI79T3,1,0,0,N,Y
R3JD68RQDK14T1,5,0,0,N,Y
R97CMTE8BLWSP,5,0,0,N,Y
R1S9E2FSIQGON6,2,2,5,N,Y
R1WMNMJABFBT62,5,0,0,N,Y
R2WOPNU4ABND33,1,0,1,N,Y
RM45S21422UX,5,0,0,N,Y
R3EWQD1E5KS6C9,5,0,0,N,Y
REV98NDXPWGA1,5,0,0,N,Y
RSLPBPESWM8LJ,5,0,0,N,Y
R1U59EVX13UFF5,5,0,0,Y,Y
R22CY9DG5G53CR,5,0,0,N,Y
RB4TCGEN0D52C,1,0,0,N,Y
R1438LTKCOI9LI,5,0,0,Y,Y
R2XOKUJHE03C01,5,0,0,N,Y
RAN9VJU5G6MT9,5,0,0,N,Y
R2UJJUA7RJ30ME,5,0,0,N,Y
R2QH9EDMQ5AB3M,1,0,0,N,Y
R202DVHSH2F7PJ,2,0,0,Y,Y
R1OUBP2IC1I1W2,5,0,0,N,Y
RH1BAZV5QEK5N,5,0,0,N,Y
R191L1X9MTB3Z,2,0,0,N,Y
RHVS0N6A0BSL1,5,0,0,N,Y
R174WZLWUNO9OT,1,1,1,N,Y
R24VO2FK0ATCP3,5,0,0,N,Y
RO5ZFFZYEOOZH,5,0,0,N,Y
R2VELEHL971G1D,5,0,0,Y,Y
R3LIJRDO2YTZ2C,1,0,1,N,Y
R39UXIF0D7CQ59,1,0,2,N,Y
RRSVIJBJW7LS3,5,0,0,N,Y
R3QCFIH9CLD1R8,5,4,4,N,Y
R32KURBLTMIVT5,5,0,0,N,Y
R1K0XATUS0IREX,5,1,1,N,Y
R15VKOUGD99RWI,5,0,0,N,Y
R3SRV3UBJQ3NO1,2,0,0,N,Y
